title,year,downloads,torrent_url,poster_url,description,genre
Rembrandt,1936,82234,https://archive.org/download/Rembrandt/Rembrandt_archive.torrent,https://image.tmdb.org/t/p/w780/mGoJsDTITN1WBCEUzbSQEEUIGzj.jpg,"From IMDb : This character study joins the painter at the height of his fame in 1642, when his adored wife suddenly dies and his work takes a dark, sardonic turn that offends his patrons. By 1656, he is bankrupt but consoles himself with the company of pretty maid Hendrickje, whom he's unable to marry. Their relationship brings ostracism but also some measure of happiness. The final scenes find him in his last year, 1669, physically enfeebled but his spirit undimmed. Stars: Charles Laughton, Ger",Drama
Pecos Kid,1936,82166,https://archive.org/download/pecos_kid/pecos_kid_archive.torrent,https://archive.org/services/img/pecos_kid,You can find more information regarding this film on its IMDb page .,Western
War Babies,0,82112,https://archive.org/download/WarBabies/WarBabies_archive.torrent,https://image.tmdb.org/t/p/w780/urToJMFPoQLr5XXTPbVFvJh7cPX.jpg,Very early R M Savini produced Shirley Temple short.,Comedy
Night Tide,1961,82056,https://archive.org/download/NightTide1961_4/NightTide1961_4_archive.torrent,https://image.tmdb.org/t/p/w780/bd8pTcZQNRBFrShJoCQUWnJxmZJ.jpg,"Title: Night Tide Summary: A young sailor falls in love with a mysterious woman, performing as a mermaid at the local carnival. He soon comes to suspect the girl might be a real mermaid, who draws men to a watery death during the full moon. Directed by: Curtis Harrington Actors: Dennis Hopper, Linda Lawson, Gavin Muir Production Company: Phoenix Films Release Date: 17 September 1965 (Mexico) Aspect Ratio: 1.66 : 1 On leave in a shore side town, Johnny becomes interested in a young dark haired wo","Thriller, Mystery, Romance, Horror"
Suspiria (1977),0,81952,https://archive.org/download/suspiria-1977/suspiria-1977_archive.torrent,https://image.tmdb.org/t/p/w780/sEcvc9h1X3hYZdFgtiiKMm6RB3f.jpg,"SUSPIRIA ( Suspiria , 1977 - Itália ) ( Filme Completo / Legendado em Português ) Data de Lançamento: 01 de Fevereiro de 1977 » SOBRE O FILME: Uma novata em uma elegante academia de balé percebe, aos poucos, que a escola é na verdade uma fachada para um mundo sinistro e bizarro, cujo objetivo é promover caos e destruição. . Com base em Suspiro das Profundezes (Suspiria de Profundis), obra de Thomas De Quincey, Argento cria um conto de fadas incomum, com poucas mas inesquecíveis mortes e um eleme",Horror
The Young Lovers,1949,81876,https://archive.org/download/TheYoungLovers/TheYoungLovers_archive.torrent,https://archive.org/services/img/TheYoungLovers,"AKA Never Fear Directed, co-produced and written by Ida Lupino A dancer (Sally Forrest) who has just gotten engaged to her partner and choreographer (Keefe Brasselle) and is about to embark on a major career is devastated to learn that she has contracted polio.","Romance, Drama"
The Phantom of the Opera,1925,81871,https://archive.org/download/ThePhantomOfTheOpera_364/ThePhantomOfTheOpera_364_archive.torrent,https://image.tmdb.org/t/p/w780/mvaYpAYj957C2tlq3vVJPSzGJXK.jpg,"A mad, disfigured composer seeks love with a lovely young opera singer. - IMDB Description","Thriller, Drama, Romance"
Stamp Day For Superman,1954,81839,https://archive.org/download/StampDayForSUPERMAN/StampDayForSUPERMAN_archive.torrent,https://image.tmdb.org/t/p/w780/JMrDpSFbnn8PyLwrQFRgu16wjM.jpg,The Superman production company donated this special 18 minute episode to the US Treasury to help promote school stamp day savings plans to children. This is the only episode of the series that has entered the public domain. It features all of the hallmarks that made the original 1950s Superman series so memorable.,"Fantasy, Science Fiction"
Here Comes Trouble 1948,1948,81816,https://archive.org/download/HereComesTrouble1948/HereComesTrouble1948_archive.torrent,https://archive.org/services/img/HereComesTrouble1948,"imdb: A newspaper publisher (Emory Parnell) is being blackmailed by a burlesque queen (Joan Woodbury), and he sends one of his reporters (William Tracy) to talk to her.",
Aerial Gunner,1943,81751,https://archive.org/download/aerial_gunner/aerial_gunner_archive.torrent,https://image.tmdb.org/t/p/w780/32hsHZXjldZBnOI3UI1e15d77u9.jpg,Two rivals join the Air Corps during WWII.,"War, Drama"
Shocker Internet Drive In Week 3 - Frankenstein Double Feature,0,81682,https://archive.org/download/ShockerInternetDriveInWeek3-FrankensteinDoubleFeature/ShockerInternetDriveInWeek3-FrankensteinDoubleFeature_archive.torrent,https://archive.org/services/img/ShockerInternetDriveInWeek3-FrankensteinDoubleFeature,"Welcome back to 'Shocker Internet Drive In', reliving the great old days of warm summer nights, popcorn, bad movies and backseat love. Tonight we present a great Frankenstein double feature. After a rare ('racist') Bugs Bunny cartoon, we present that Italian trash classic 'Lady Frankenstein' (parental discreation is advised) followed by the equally crazy 'Jesse James Meets Frankenstein's Daughter'! Of course, as always, our feature includes the usual movie previews and drive-in advertisements. F",
Monstrosity AKA / The Atomic Brain,1964,81603,https://archive.org/download/atomic_brain_1964/atomic_brain_1964_archive.torrent,https://archive.org/services/img/atomic_brain_1964,Taken from IMDB : A rich but unscrupulous old woman plots with a scientist to have her brain implanted in the skull of a sexy young woman.,
Doll Face,1945,81597,https://archive.org/download/dollface/dollface_archive.torrent,https://image.tmdb.org/t/p/w780/wYubN0aC1zSjV3X8JRghJOIQAE0.jpg,A former burlesque queen needs to acquire some culture to give herself some legitimacy.,"Horror, Thriller"
